               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.12025,           0.0067958,                   0,             0.74518,             0.55899,             0.59954,             0.19738,             0.10539,           0.0038158,                   0,            0.006337,            0.006337,            0.006337
                  39,             0.12013,           0.0067593,                   0,             0.74535,             0.55978,             0.60071,             0.19799,             0.10535,           0.0038138,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.11999,           0.0067921,                   0,             0.74612,             0.56012,             0.60093,              0.1982,             0.10531,           0.0038126,                   0,            0.006139,            0.006139,            0.006139
                  41,             0.11987,           0.0067585,                   0,             0.74661,             0.56069,             0.60144,             0.19858,             0.10527,           0.0038125,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.12008,           0.0068344,                   0,             0.74714,             0.56087,             0.60189,              0.1993,              0.1052,           0.0038136,                   0,            0.005941,            0.005941,            0.005941
                  43,             0.11998,           0.0067871,                   0,             0.74646,             0.56244,             0.60337,             0.19943,             0.10515,           0.0038156,                   0,            0.005842,            0.005842,            0.005842
                  44,             0.12009,           0.0067799,                   0,             0.74803,             0.56336,              0.6045,             0.20013,             0.10509,           0.0038176,                   0,            0.005743,            0.005743,            0.005743
                  45,              0.1198,           0.0068208,                   0,             0.74892,             0.56386,             0.60514,             0.20063,             0.10503,           0.0038179,                   0,            0.005644,            0.005644,            0.005644
                  46,             0.12001,           0.0067607,                   0,             0.75073,              0.5633,             0.60562,             0.20067,             0.10498,           0.0038184,                   0,            0.005545,            0.005545,            0.005545
                  47,             0.11976,           0.0067814,                   0,              0.7502,              0.5647,             0.60655,             0.20143,             0.10492,           0.0038185,                   0,            0.005446,            0.005446,            0.005446
                  48,             0.11974,           0.0068099,                   0,             0.75056,             0.56548,             0.60771,             0.20229,             0.10488,           0.0038181,                   0,            0.005347,            0.005347,            0.005347
                  49,              0.1195,           0.0068247,                   0,             0.75269,             0.56372,             0.60749,             0.20241,             0.10482,           0.0038202,                   0,            0.005248,            0.005248,            0.005248
                  50,             0.11992,            0.006822,                   0,             0.75377,               0.556,             0.60198,             0.20007,              0.1048,           0.0038277,                   0,            0.005149,            0.005149,            0.005149
                  51,             0.11968,           0.0068304,                   0,              0.7536,             0.55661,             0.60249,             0.20035,             0.10476,           0.0038285,                   0,             0.00505,             0.00505,             0.00505
                  52,             0.11967,           0.0068023,                   0,             0.75424,             0.55605,             0.60235,             0.20056,             0.10473,           0.0038284,                   0,            0.004951,            0.004951,            0.004951
                  53,             0.11967,           0.0068169,                   0,             0.75418,             0.55658,               0.603,             0.20096,             0.10468,           0.0038296,                   0,            0.004852,            0.004852,            0.004852
                  54,             0.11966,           0.0068181,                   0,             0.75513,             0.55824,             0.60459,             0.20211,             0.10462,           0.0038299,                   0,            0.004753,            0.004753,            0.004753
                  55,              0.1194,           0.0068169,                   0,             0.75524,              0.5596,             0.60544,             0.20276,             0.10456,            0.003829,                   0,            0.004654,            0.004654,            0.004654
                  56,             0.11947,           0.0068244,                   0,             0.75623,             0.56108,             0.60712,             0.20388,              0.1045,           0.0038273,                   0,            0.004555,            0.004555,            0.004555
                  57,              0.1194,           0.0068119,                   0,             0.75734,             0.56239,             0.60859,             0.20462,             0.10445,           0.0038264,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.11922,           0.0068307,                   0,             0.75814,             0.56288,             0.60948,             0.20468,             0.10442,           0.0038263,                   0,            0.004357,            0.004357,            0.004357
                  59,             0.11938,           0.0068439,                   0,             0.75914,             0.56372,             0.61008,             0.20536,             0.10436,           0.0038246,                   0,            0.004258,            0.004258,            0.004258
                  60,             0.11913,           0.0068062,                   0,             0.76156,             0.56358,             0.61067,             0.20578,             0.10432,           0.0038237,                   0,            0.004159,            0.004159,            0.004159
                  61,             0.11912,           0.0068322,                   0,             0.76108,             0.56463,             0.61136,             0.20648,             0.10428,           0.0038226,                   0,             0.00406,             0.00406,             0.00406
                  62,             0.11894,           0.0068384,                   0,              0.7602,             0.56515,             0.61156,             0.20666,             0.10426,           0.0038213,                   0,            0.003961,            0.003961,            0.003961
                  63,             0.11911,           0.0068326,                   0,             0.76179,             0.56504,             0.61193,             0.20709,             0.10422,           0.0038196,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.11902,           0.0068474,                   0,             0.76355,             0.56583,             0.61317,               0.208,             0.10417,            0.003817,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.11924,            0.006824,                   0,             0.76394,             0.56726,             0.61472,             0.20893,             0.10413,           0.0038149,                   0,            0.003664,            0.003664,            0.003664
                  66,              0.1188,           0.0068344,                   0,             0.76468,             0.56743,              0.6153,             0.20953,             0.10409,           0.0038144,                   0,            0.003565,            0.003565,            0.003565
                  67,             0.11875,            0.006832,                   0,             0.76468,             0.56872,             0.61632,             0.21049,             0.10406,           0.0038122,                   0,            0.003466,            0.003466,            0.003466
                  68,             0.11897,            0.006845,                   0,             0.76557,             0.56958,              0.6178,             0.21117,             0.10401,           0.0038115,                   0,            0.003367,            0.003367,            0.003367
                  69,             0.11883,           0.0068452,                   0,             0.76582,             0.57105,             0.61883,             0.21193,             0.10396,           0.0038114,                   0,            0.003268,            0.003268,            0.003268
                  70,             0.11874,           0.0068577,                   0,             0.76735,             0.57164,             0.61993,             0.21235,             0.10394,             0.00381,                   0,            0.003169,            0.003169,            0.003169
                  71,             0.11874,           0.0068713,                   0,               0.768,             0.57136,             0.62024,             0.21284,             0.10391,           0.0038093,                   0,             0.00307,             0.00307,             0.00307
                  72,             0.11891,           0.0068298,                   0,             0.76773,             0.57293,             0.62183,             0.21384,             0.10386,           0.0038075,                   0,            0.002971,            0.002971,            0.002971
                  73,             0.11857,           0.0068549,                   0,             0.76849,             0.57363,             0.62251,             0.21441,             0.10384,            0.003805,                   0,            0.002872,            0.002872,            0.002872
                  74,             0.11848,           0.0068627,                   0,              0.7696,             0.57399,             0.62286,             0.21469,             0.10381,           0.0038048,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.11847,           0.0068509,                   0,              0.7702,              0.5741,             0.62367,             0.21482,             0.10379,           0.0038038,                   0,            0.002674,            0.002674,            0.002674
                  76,              0.1185,           0.0068414,                   0,             0.76973,              0.5745,              0.6242,             0.21534,             0.10377,           0.0038019,                   0,            0.002575,            0.002575,            0.002575
                  77,             0.11849,           0.0068339,                   0,             0.76912,              0.5761,             0.62539,             0.21593,             0.10373,           0.0038037,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.11816,           0.0068367,                   0,             0.76957,              0.5754,             0.62507,             0.21615,              0.1037,           0.0038056,                   0,            0.002377,            0.002377,            0.002377
                  79,             0.11825,           0.0068432,                   0,              0.7698,             0.57648,             0.62607,             0.21665,             0.10366,           0.0038059,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.11829,           0.0068765,                   0,             0.76986,             0.57752,             0.62645,             0.21721,             0.10363,           0.0038054,                   0,            0.002179,            0.002179,            0.002179
                  81,             0.11823,           0.0068453,                   0,             0.77048,             0.57783,             0.62699,              0.2177,             0.10358,           0.0038052,                   0,             0.00208,             0.00208,             0.00208
                  82,             0.11788,           0.0068285,                   0,             0.76986,             0.57939,             0.62821,             0.21854,             0.10355,           0.0038034,                   0,            0.001981,            0.001981,            0.001981
                  83,              0.1181,           0.0068589,                   0,             0.76934,             0.58073,               0.629,             0.21936,             0.10353,           0.0038017,                   0,            0.001882,            0.001882,            0.001882
                  84,             0.11795,           0.0068667,                   0,             0.76763,             0.58147,             0.62914,              0.2201,             0.10351,           0.0038006,                   0,            0.001783,            0.001783,            0.001783
